"instrumento","fabricante_categoria","arquivo","caminho","tamanho_bytes","sha256","entradas","wav","outros"
"Baixo","Orange","Orange Bass Setup.zip","downloads\arquivos\Por modelo\Baixo\Orange\Orange Bass Setup.zip","38375","B8DDD46174B67896115B02BCC087DA46379281B02CC72F1145CAD21838000F46","5","5","0"
"Baixo","Outras coleções","AFX.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\AFX.zip","17585","3EE9614579CB3CC109F59123A1253A6411CD028E0FF9E199336795A88B40A836","6","6","0"
"Baixo","Outras coleções","Bass Classics.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Classics.zip","3041","24DB2A6153DC631CB7F7D4D413737B7E70C6A0D2E80B65D698DEBF70C00DBDC7","1","1","0"
"Baixo","Outras coleções","Bass Grafton.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Grafton.zip","15086","8D87E20CAD432CE556175A7D49F2BCDF0C32CC23B7CBAF29A20C1812B9AD4A63","3","3","0"
"Baixo","Outras coleções","Bass Hannover.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Hannover.zip","8917","A6870F56131315B624971378FA1811A70AFA510DDE233CB27D235F6ADEB82D10","2","2","0"
"Baixo","Outras coleções","Bass Oakdale 2x12.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Oakdale 2x12.zip","15960","9B3145B99286F5CF011617F5558FB2769A7966FB24131E733ADE9AF8E76613BD","4","4","0"
"Baixo","Outras coleções","Bass Peavey 4x10.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Peavey 4x10.zip","107514","01CF6E40A89DE560A7866C4F2A9872032D1437714041A2177EEF52A77D78DA28","2","2","0"
"Baixo","Outras coleções","Bass Setup_dr_norton.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Setup_dr_norton.zip","10147","485FA39B050FC9DFAE3205A5E5633801397D0C10E4977F3F174DC1C0D3DB82F8","2","2","0"
"Baixo","Outras coleções","Bass Setup_Zuhause_Hiwatt.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Setup_Zuhause_Hiwatt.zip","31622","56A14B4E82481F751BCA046A6EB73CBE7B2B943D23FA726601FE60BD6121CEA1","7","7","0"
"Baixo","Outras coleções","Laney LV412A.zip","downloads\arquivos\Por modelo\Baixo\Outras coleções\Laney LV412A.zip","164226","35C3D9FECEF2A69EC41219B58911D5F2952C54FB8BD1E0793FA03CDCE364AAC0","8","8","0"
"Baixo","Peavey","115BX.zip","downloads\arquivos\Por modelo\Baixo\Peavey\115BX.zip","375631","5F54BFD015088F51BA0225B6B8351F85E769B9B180E84A27FDFE5DEA0C90E322","12","12","0"
"Baixo","Science Amplification","Science Amps.zip","downloads\arquivos\Por modelo\Baixo\Science Amplification\Science Amps.zip","7126659","BDEA4AAC2D97B910AE61D8102EB0A13977C531088EF46A56371AC45370652A82","51","51","0"
"Baixo","SWR","SWR 15.zip","downloads\arquivos\Por modelo\Baixo\SWR\SWR 15.zip","152382","1A7CE77D84AB427C61235A354368CD347208C250E2871B9DA68C97DCD0940CE5","3","3","0"
"Baixo","Vox","T-25.zip","downloads\arquivos\Por modelo\Baixo\Vox\T-25.zip","370587","76E8BDFCC94B080190266AF2A6A6D19D6A54DC1AAC5C9417619EF546FE88B04F","12","12","0"
"Guitarra","Allure","'59 Tweed e coleção Allure.zip","downloads\arquivos\Por modelo\Guitarra\Allure\'59 Tweed e coleção Allure.zip","40561","C0D761A0C82D61D33467B92152291DE5A1B68F385CB7D730103513F7C4B73910","7","7","0"
"Guitarra","Bogner","Bogner 2x12.zip","downloads\arquivos\Por modelo\Guitarra\Bogner\Bogner 2x12.zip","699285","3244048BB4FDBD783F0E1118B326712E602804804C1E04A774C10CC4F5FF65CA","14","14","0"
"Guitarra","Coleção independente","God's Cab 1.4.zip","downloads\arquivos\Por modelo\Guitarra\Coleção independente\God's Cab 1.4.zip","22185213","75F3FDB4132E7B01FAACAEB5572D87853E83B7356B3A994861DE2F4382BDDDC3","3584","2169","1415"
"Guitarra","Diezel","Diezel 4x12.zip","downloads\arquivos\Por modelo\Guitarra\Diezel\Diezel 4x12.zip","473910","3D25D6419201A324884555C3FAD617AF1DF19C8859E8750D44514C330EB1CDC4","9","9","0"
"Guitarra","faIR","Modern Rock.zip","downloads\arquivos\Por modelo\Guitarra\faIR\Modern Rock.zip","242330","AF10400228FF7CC3B632E2F77A59A1A1241E5D5C881D7DD4447F560937D50E8A","10","10","0"
