"caminho","tamanho_antes","tamanho_depois","sha256_antes","sha256_depois","status"
"downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Peavey 4x10.zip","107514","107514","01CF6E40A89DE560A7866C4F2A9872032D1437714041A2177EEF52A77D78DA28","01CF6E40A89DE560A7866C4F2A9872032D1437714041A2177EEF52A77D78DA28","inalterado"
"downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Setup_dr_norton.zip","10147","10147","485FA39B050FC9DFAE3205A5E5633801397D0C10E4977F3F174DC1C0D3DB82F8","485FA39B050FC9DFAE3205A5E5633801397D0C10E4977F3F174DC1C0D3DB82F8","inalterado"
"downloads\arquivos\Por modelo\Baixo\Outras coleções\Bass Setup_Zuhause_Hiwatt.zip","31622","31622","56A14B4E82481F751BCA046A6EB73CBE7B2B943D23FA726601FE60BD6121CEA1","56A14B4E82481F751BCA046A6EB73CBE7B2B943D23FA726601FE60BD6121CEA1","inalterado"
"downloads\arquivos\Por modelo\Baixo\Outras coleções\Laney LV412A.zip","164226","164226","35C3D9FECEF2A69EC41219B58911D5F2952C54FB8BD1E0793FA03CDCE364AAC0","35C3D9FECEF2A69EC41219B58911D5F2952C54FB8BD1E0793FA03CDCE364AAC0","inalterado"
"downloads\arquivos\Por modelo\Baixo\Peavey\115BX.zip","375631","375631","5F54BFD015088F51BA0225B6B8351F85E769B9B180E84A27FDFE5DEA0C90E322","5F54BFD015088F51BA0225B6B8351F85E769B9B180E84A27FDFE5DEA0C90E322","inalterado"
"downloads\arquivos\Por modelo\Baixo\Science Amplification\Science Amps.zip","7126659","7126659","BDEA4AAC2D97B910AE61D8102EB0A13977C531088EF46A56371AC45370652A82","BDEA4AAC2D97B910AE61D8102EB0A13977C531088EF46A56371AC45370652A82","inalterado"
"downloads\arquivos\Por modelo\Baixo\SWR\SWR 15.zip","152382","152382","1A7CE77D84AB427C61235A354368CD347208C250E2871B9DA68C97DCD0940CE5","1A7CE77D84AB427C61235A354368CD347208C250E2871B9DA68C97DCD0940CE5","inalterado"
"downloads\arquivos\Por modelo\Baixo\Vox\T-25.zip","370587","370587","76E8BDFCC94B080190266AF2A6A6D19D6A54DC1AAC5C9417619EF546FE88B04F","76E8BDFCC94B080190266AF2A6A6D19D6A54DC1AAC5C9417619EF546FE88B04F","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Allure\'59 Tweed e coleção Allure.zip","40561","40561","C0D761A0C82D61D33467B92152291DE5A1B68F385CB7D730103513F7C4B73910","C0D761A0C82D61D33467B92152291DE5A1B68F385CB7D730103513F7C4B73910","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Bogner\Bogner 2x12.zip","699285","699285","3244048BB4FDBD783F0E1118B326712E602804804C1E04A774C10CC4F5FF65CA","3244048BB4FDBD783F0E1118B326712E602804804C1E04A774C10CC4F5FF65CA","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Coleção independente\God's Cab 1.4.zip","22185213","22185213","75F3FDB4132E7B01FAACAEB5572D87853E83B7356B3A994861DE2F4382BDDDC3","75F3FDB4132E7B01FAACAEB5572D87853E83B7356B3A994861DE2F4382BDDDC3","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Diezel\Diezel 4x12.zip","473910","473910","3D25D6419201A324884555C3FAD617AF1DF19C8859E8750D44514C330EB1CDC4","3D25D6419201A324884555C3FAD617AF1DF19C8859E8750D44514C330EB1CDC4","inalterado"
"downloads\arquivos\Por modelo\Guitarra\faIR\Modern Rock.zip","242330","242330","AF10400228FF7CC3B632E2F77A59A1A1241E5D5C881D7DD4447F560937D50E8A","AF10400228FF7CC3B632E2F77A59A1A1241E5D5C881D7DD4447F560937D50E8A","inalterado"
"downloads\arquivos\Por modelo\Guitarra\faIR\Post Grunge.zip","1806036","1806036","A2DDF5E94A8707BFDFBAB6CEB6255F3FB38197E41A64875B259CFFAE184F2AC7","A2DDF5E94A8707BFDFBAB6CEB6255F3FB38197E41A64875B259CFFAE184F2AC7","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Fender\Combos e gabinetes Fender.zip","2046795","2046795","2E0A1F490D233422C0B8DEA519CA1AB52C5431D19498C2E0255AE095E0EA2B34","2E0A1F490D233422C0B8DEA519CA1AB52C5431D19498C2E0255AE095E0EA2B34","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Line 6\Vetta Cabinet.zip","909081","909081","EE06B22F1A06E34C18A6502458C8E5771EBCA334EF6E71068B426E51C92E2283","EE06B22F1A06E34C18A6502458C8E5771EBCA334EF6E71068B426E51C92E2283","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Marshall\1960A G12M - Fractal.zip","4571556","4571556","F60AEC3A64B3D53546170F86ED72FEA240FB66D0EA471D6D2903A175A0C76D2D","F60AEC3A64B3D53546170F86ED72FEA240FB66D0EA471D6D2903A175A0C76D2D","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Marshall\JCM2000.zip","73291","73291","566794AFDA84C44AC690284A95894A15C3B7655D9931C38EEC413D6B4E8B535C","566794AFDA84C44AC690284A95894A15C3B7655D9931C38EEC413D6B4E8B535C","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Marshall\JCM900.zip","107781","107781","45A6372C3051A466B929A4B9AF17B0926B134973E68502F4EED000B6C4015B3E","45A6372C3051A466B929A4B9AF17B0926B134973E68502F4EED000B6C4015B3E","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Marshall\Outras coleções 1960A.zip","7017607","7017607","E12DC78CBC3D28B808C85C71700EBFB8E244AF6DAB3F8C99AD117165CF1E3E5E","E12DC78CBC3D28B808C85C71700EBFB8E244AF6DAB3F8C99AD117165CF1E3E5E","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Marshall\Plexi 1960A T75.zip","1651244","1651244","E5B0203B7A9D32F52BF4B9948EF893EBA5502CF808E1DB3E4A7C4E94CDE6C19C","E5B0203B7A9D32F52BF4B9948EF893EBA5502CF808E1DB3E4A7C4E94CDE6C19C","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Mesa-Boogie\Rectifier e V30.zip","3718613","3718613","7DEB31630E4342D2D70A697E30FA0381C0199A19640AC22136C6856916108483","7DEB31630E4342D2D70A697E30FA0381C0199A19640AC22136C6856916108483","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\1- Top 8 IR Pack.zip","55062","55062","6DF26B0F8D7F6DD1E2CAB647649BA234F4E3BD9762B3DCCB8711933EC845FEC9","6DF26B0F8D7F6DD1E2CAB647649BA234F4E3BD9762B3DCCB8711933EC845FEC9","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\2- Top 7 IR Pack.zip","24015","24015","DAAC595B4FD4FF08127E4D77495A654C9A6AD715EF7192E9C0E85932C7642EEB","DAAC595B4FD4FF08127E4D77495A654C9A6AD715EF7192E9C0E85932C7642EEB","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\AEmpulses_v1.zip","4489030","4489030","0990B19ADB285BD48C7653CF8FC9BA11847CE473A1FE45DDD820878EBA216B85","0990B19ADB285BD48C7653CF8FC9BA11847CE473A1FE45DDD820878EBA216B85","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Allston.zip","13358","13358","FAE486D008BE92B3D20B1EE2BA20AEF25B04D94F1BEADAEAAAD261258ADC787D","FAE486D008BE92B3D20B1EE2BA20AEF25B04D94F1BEADAEAAAD261258ADC787D","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Bachatta IR.zip","175090","175090","6C157404ADD3EEF2C59A25BE1C93EB5DA5362797C510EDD3592F7F899F81DBAB","6C157404ADD3EEF2C59A25BE1C93EB5DA5362797C510EDD3592F7F899F81DBAB","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Behringer Ultra-G.zip","726749","726749","0D5D16E267269F5550008F6CB491193496CDB981B8A718F46285247DBC2B39BC","0D5D16E267269F5550008F6CB491193496CDB981B8A718F46285247DBC2B39BC","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIrPack1.zip","328956","328956","A6A7B4CC7A1610F54851B52024969D24EF1055534E4C22BD6490D4EF69D43A97","A6A7B4CC7A1610F54851B52024969D24EF1055534E4C22BD6490D4EF69D43A97","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIrPack2.zip","167169","167169","76A7271348FED526A830367774B0E13E441F8351081BD31FE7C8EC0CAE7C021E","76A7271348FED526A830367774B0E13E441F8351081BD31FE7C8EC0CAE7C021E","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack3.zip","230496","230496","557E621984DA058D49438F329A9EBF234F7856F6FEFCE33D85925C0F7324A8BD","557E621984DA058D49438F329A9EBF234F7856F6FEFCE33D85925C0F7324A8BD","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack4.zip","461114","461114","C4C1B7107D11A065D368F38F97A5325854E6145A402BEDEB6D6A46A3C4B9D517","C4C1B7107D11A065D368F38F97A5325854E6145A402BEDEB6D6A46A3C4B9D517","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\BestpluginsIRPack5.zip","402197","402197","8ECEAEF9BD095C683AE5870C8F02A884BAE95E47B0C8AC36875809B341C57016","8ECEAEF9BD095C683AE5870C8F02A884BAE95E47B0C8AC36875809B341C57016","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Boxboro.zip","10508","10508","3206C6A1C5C8FA76F9676572B1349515CFF4CA66244FC7D4D213A67028BCE535","3206C6A1C5C8FA76F9676572B1349515CFF4CA66244FC7D4D213A67028BCE535","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Brighton.zip","2135","2135","60C69E1FCC29458AA7507C9D62D805658CA7AB642E7BAE5FED2DBE5E862C9F8E","60C69E1FCC29458AA7507C9D62D805658CA7AB642E7BAE5FED2DBE5E862C9F8E","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Brockton.zip","8192","8192","2D4CF1B9ACA245F8B7CEA1A83221D65AE3C1AFA42CFE4525DAAA29D4654779DA","2D4CF1B9ACA245F8B7CEA1A83221D65AE3C1AFA42CFE4525DAAA29D4654779DA","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Cambridge.zip","8045","8045","859B8F4389721B93B624B1D73886706CE7D80775EEA70D402D14B10E626FFE68","859B8F4389721B93B624B1D73886706CE7D80775EEA70D402D14B10E626FFE68","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Canton.zip","4463","4463","5B9234818672457E1F4B05EC97114E59710FBF0549A0CF8FA8065BC8333F29FE","5B9234818672457E1F4B05EC97114E59710FBF0549A0CF8FA8065BC8333F29FE","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Catharsis Fredman Impulses.zip","28492","28492","2AAAB87BEEB4603B6F6675C52948B18ED444C3102F623EBFA0183D307DC81F0D","2AAAB87BEEB4603B6F6675C52948B18ED444C3102F623EBFA0183D307DC81F0D","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Chelsea.zip","8646","8646","C42CDEBDF25785E8BB2AFDA97F7C905C2CF3503B47887ED13623C28DA4E9B369","C42CDEBDF25785E8BB2AFDA97F7C905C2CF3503B47887ED13623C28DA4E9B369","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Electrovoice 12.zip","100525","100525","8D0DC3BA73548504804AAF805455BE3B3C6DB4CF77D42FB5ADF2EB23693B5005","8D0DC3BA73548504804AAF805455BE3B3C6DB4CF77D42FB5ADF2EB23693B5005","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Electrovoice 4x12.zip","40516","40516","A8B4716B5B1FD7784B6A0915E587342AB9DEDC1A599CE2F842BC216C12905A4A","A8B4716B5B1FD7784B6A0915E587342AB9DEDC1A599CE2F842BC216C12905A4A","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Fearcomplexmusic Impulses.zip","195178","195178","C01FF41DC1397EB8BB74F7C693E1228931E677F7B3F1784184EAE657DE74DB55","C01FF41DC1397EB8BB74F7C693E1228931E677F7B3F1784184EAE657DE74DB55","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Fredman-Impulses.zip","414077","414077","38C512A9D2E6ED2B385CAEEE90271CF3338EA495C8DB2EB658306C17DBCC951B","38C512A9D2E6ED2B385CAEEE90271CF3338EA495C8DB2EB658306C17DBCC951B","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Grafton.zip","15046","15046","514E6372E7012DA1A799C43A2A831BD0604CF4BD331C97B2CE4D05067ABB070B","514E6372E7012DA1A799C43A2A831BD0604CF4BD331C97B2CE4D05067ABB070B","inalterado"
