"caminho","tamanho_antes","tamanho_depois","sha256_antes","sha256_depois","status"
"downloads\arquivos\Por modelo\Violão\Coleção D-TAR\Acoustic Shapes.zip","97121","97121","DB89B2C46C64453581AE6E7916505E7228692EEAD04D00EE58570F76CAB6D0F1","DB89B2C46C64453581AE6E7916505E7228692EEAD04D00EE58570F76CAB6D0F1","inalterado"
"downloads\arquivos\Por modelo\Violão\Collings\D2H e OM2HA.zip","35792","35792","BC9D8E9DF2FE9DF9CD5881CB1150239758870D8892A2AF21A15B902142D42B19","BC9D8E9DF2FE9DF9CD5881CB1150239758870D8892A2AF21A15B902142D42B19","inalterado"
"downloads\arquivos\Por modelo\Violão\Gibson\Hummingbird.zip","19263","19263","51BCCAADB90019FCC7E8DFA83C06DA13D92ACA043CB88000BAD9A9542475129E","51BCCAADB90019FCC7E8DFA83C06DA13D92ACA043CB88000BAD9A9542475129E","inalterado"
"downloads\arquivos\Por modelo\Violão\Gibson\J-200 Jumbo.zip","173768","173768","E2916D0092A3EF81C573BF83F66E43548E79E24B72CDB4EB75C9E78889DC45DC","E2916D0092A3EF81C573BF83F66E43548E79E24B72CDB4EB75C9E78889DC45DC","inalterado"
"downloads\arquivos\Por modelo\Violão\Gibson\J-45.zip","12169","12169","D892BB9048A86040A9F72391BEF34035C66D588865C352B535CB4859377BA960","D892BB9048A86040A9F72391BEF34035C66D588865C352B535CB4859377BA960","inalterado"
"downloads\arquivos\Por modelo\Violão\Gibson\Wayne Benson Mandolin.zip","12537","12537","8D7834B70DF36A0ED44AC3C5D8DC5C604C445B790E497F9C2C7AE0C545224235","8D7834B70DF36A0ED44AC3C5D8DC5C604C445B790E497F9C2C7AE0C545224235","inalterado"
"downloads\arquivos\Por modelo\Violão\LAVA\LAVA Nylon.zip","68812","68812","03EBCBE1F873076191BB4F570C3039F71B22C2376BC0302A4E078DF8E8A846C1","03EBCBE1F873076191BB4F570C3039F71B22C2376BC0302A4E078DF8E8A846C1","inalterado"
"downloads\arquivos\Por modelo\Violão\Martin\HD-28.zip","21138","21138","020BAB8192D74CD754B94A73136833EEA7256ABBF4A142EDAE9D4903AE59EF54","020BAB8192D74CD754B94A73136833EEA7256ABBF4A142EDAE9D4903AE59EF54","inalterado"
"downloads\arquivos\Por modelo\Violão\Nylon\Violão clássico e Nylon Essentials.zip","19652","19652","3DDA97C5A671DD5CB4EA92B0FC0B636B498BF2F96D326F42A8248876C21B1E6D","3DDA97C5A671DD5CB4EA92B0FC0B636B498BF2F96D326F42A8248876C21B1E6D","inalterado"
"downloads\arquivos\Por modelo\Violão\Samick\JZ4.zip","288895","288895","7DE6D44C1EFCA16518C087EA3D7F43034DB819E9982D21D7EB2C3B336A7C26C9","7DE6D44C1EFCA16518C087EA3D7F43034DB819E9982D21D7EB2C3B336A7C26C9","inalterado"
"downloads\arquivos\Por modelo\Violão\Taylor\314ce.zip","24137","24137","0DED0C1CC4E5B3E5D6D49C36340F90B8A6B20A1F2DFE10686A1517D82E2E5177","0DED0C1CC4E5B3E5D6D49C36340F90B8A6B20A1F2DFE10686A1517D82E2E5177","inalterado"
"downloads\arquivos\Por modelo\Violão\Taylor\814.zip","15530","15530","4E2C50C87D8180CCA33FCBFD3BEB4E58423CDAF78573F6C9ED028DEEB4380527","4E2C50C87D8180CCA33FCBFD3BEB4E58423CDAF78573F6C9ED028DEEB4380527","inalterado"
"downloads\arquivos\Software M-VAVE\INSTRUCOES - Qual software usar.pdf","15194","15194","34C691A221F67E164B9AD64CC03CE3E66083C9F985A722356625AA08A008DF63","34C691A221F67E164B9AD64CC03CE3E66083C9F985A722356625AA08A008DF63","inalterado"
"downloads\arquivos\Software M-VAVE\LEIA-ME - BAIXAR SOFTWARE E ATUALIZACOES.txt","736","736","47BB6892F78B24E9CC6153347D3C4E0C1F35F3CAE93B15972F4E92419EEA7A03","47BB6892F78B24E9CC6153347D3C4E0C1F35F3CAE93B15972F4E92419EEA7A03","inalterado"
"downloads\arquivos\Software M-VAVE\Mac OS\ANNlab-V2.0-oficial.zip","54495859","54495859","A65CCCD91CFF7B5A93499F75E5F88AA5BCC75896288AFDF8351968F8AEF2EC4D","A65CCCD91CFF7B5A93499F75E5F88AA5BCC75896288AFDF8351968F8AEF2EC4D","inalterado"
"downloads\arquivos\Software M-VAVE\Mac OS\CubeSuite-oficial.dmg","22763381","22763381","E60998896A1D6D7AA3FB813EE522FFA6B1F12B6256F0439E131CE9DD1905CA46","E60998896A1D6D7AA3FB813EE522FFA6B1F12B6256F0439E131CE9DD1905CA46","inalterado"
"downloads\arquivos\Software M-VAVE\Mac OS\LEIA-ME - macOS.txt","1103","1103","A7C9BE0FD1A4107D0F8C258C0CFE672B3DFC3126010BA08609B8190154735792","A7C9BE0FD1A4107D0F8C258C0CFE672B3DFC3126010BA08609B8190154735792","inalterado"
"downloads\arquivos\Software M-VAVE\Mac OS\M-EFCS - Mac App Store.webloc","274","274","5DA4D013C3E188E083B537B97F29A950003731E10B048CFD54C971A2D7056AC3","5DA4D013C3E188E083B537B97F29A950003731E10B048CFD54C971A2D7056AC3","inalterado"
"downloads\arquivos\Software M-VAVE\Mac OS\MidiSuite-latest-oficial.dmg","26483511","26483511","1A887E3466F8C9D9A6A12F9CB1B21F081739D3A2CBA9922BDD9BA5D54414066D","1A887E3466F8C9D9A6A12F9CB1B21F081739D3A2CBA9922BDD9BA5D54414066D","inalterado"
"downloads\arquivos\Software M-VAVE\Mac OS\M-UPGRADE-oficial.dmg","58541828","58541828","47A08093B1398A781146169743431881D31BB808B1A63781C0D119FF840DBA32","47A08093B1398A781146169743431881D31BB808B1A63781C0D119FF840DBA32","inalterado"
"downloads\arquivos\Software M-VAVE\Mac OS\SHA256SUMS.txt","539","539","0C3AED528F928E6D33F74E079B348E23B5FA72C032BA22811C4234080A753339","0C3AED528F928E6D33F74E079B348E23B5FA72C032BA22811C4234080A753339","inalterado"
"downloads\arquivos\Software M-VAVE\Windows\ANNlab-V2.0-oficial.zip","54495859","54495859","A65CCCD91CFF7B5A93499F75E5F88AA5BCC75896288AFDF8351968F8AEF2EC4D","A65CCCD91CFF7B5A93499F75E5F88AA5BCC75896288AFDF8351968F8AEF2EC4D","inalterado"
"downloads\arquivos\Software M-VAVE\Windows\CubeSuite-oficial.zip","14785970","14785970","D9A1ADD312AE3FA82F93FEFD32A723E541536DD7ED9B2434DB364FE8C5A17423","D9A1ADD312AE3FA82F93FEFD32A723E541536DD7ED9B2434DB364FE8C5A17423","inalterado"
"downloads\arquivos\Software M-VAVE\Windows\Fontes e Revisões.txt","158","158","F6C83E1E46F64A9A21E8294ADD1D2C94CAF5E411DFACEAF2D6DC2CB006211A09","F6C83E1E46F64A9A21E8294ADD1D2C94CAF5E411DFACEAF2D6DC2CB006211A09","inalterado"
"downloads\arquivos\Software M-VAVE\Windows\MidiSuite-latest-oficial.zip","15892507","15892507","494EE5BF82B3D35656310BB046A9069D75293088EC62E502F74E3C8B167D9E0D","494EE5BF82B3D35656310BB046A9069D75293088EC62E502F74E3C8B167D9E0D","inalterado"
"downloads\arquivos\Software M-VAVE\Windows\M-UPGRADE-oficial.zip","23596336","23596336","4065124E7488F397D7B3F9356D184CC5B1DD7C77EDE4F1338867EE31765FDB0A","4065124E7488F397D7B3F9356D184CC5B1DD7C77EDE4F1338867EE31765FDB0A","inalterado"
"downloads\arquivos\Software M-VAVE\Windows\Sinco-Connector-oficial.exe","2820323","2820323","41A774AD51F7C0FCD058A6D963C745FF26C645B87F4A25E765765A53B44B5EB0","41A774AD51F7C0FCD058A6D963C745FF26C645B87F4A25E765765A53B44B5EB0","inalterado"
"downloads\baixo\index.html","1280","1280","2068A9DFC4AF4E3980B07B43ED027246B10B90CA09BD9EDB1BAB81274A2E3CFD","2068A9DFC4AF4E3980B07B43ED027246B10B90CA09BD9EDB1BAB81274A2E3CFD","inalterado"
"downloads\completo\index.html","1291","1291","9D45EEBC9F6C516E817A278824D742503860912719D6D1899EC99C7549649E80","9D45EEBC9F6C516E817A278824D742503860912719D6D1899EC99C7549649E80","inalterado"
"downloads\guitarra\index.html","1292","1292","CC5ABF77932C91FCAB02D5703561EE4BFAFF6864822792A35679EC7369B17F3E","CC5ABF77932C91FCAB02D5703561EE4BFAFF6864822792A35679EC7369B17F3E","inalterado"
"downloads\violao\index.html","1287","1287","DE075D162B8333D9188EA67AE128B90C711663A1145CE16CEDA2A3BBCF7C3724","DE075D162B8333D9188EA67AE128B90C711663A1145CE16CEDA2A3BBCF7C3724","inalterado"
"guitar\index.html","5119","5119","86EAF3D7D3810459DA6B557ADC9CC2DF8D3CB94E09EE44C917496A417EBAF8C9","86EAF3D7D3810459DA6B557ADC9CC2DF8D3CB94E09EE44C917496A417EBAF8C9","inalterado"
"guitarra\index.html","4489","4489","3640CE4774DD8CFA34B6CA5E95F56CD3E0E9054BDB1F0C9679323AF8DC1998C5","3640CE4774DD8CFA34B6CA5E95F56CD3E0E9054BDB1F0C9679323AF8DC1998C5","inalterado"
"index.html","4113","4113","787F95DDD0E34F1E7C77EB785A9403607DCE4C97351DDD4C1CF0988585ED86C2","787F95DDD0E34F1E7C77EB785A9403607DCE4C97351DDD4C1CF0988585ED86C2","inalterado"
"robots.txt","143","143","A6DDF5CDC45B6B144061DE018222E112E4659F3BB6AC540340069614B168804C","A6DDF5CDC45B6B144061DE018222E112E4659F3BB6AC540340069614B168804C","inalterado"
"sitemap.xml","10009","10009","A8EB470D3B8571B86469D3D77469F461009A1A9DC2FEFEE6414FFA7AA91C57E6","A8EB470D3B8571B86469D3D77469F461009A1A9DC2FEFEE6414FFA7AA91C57E6","inalterado"
"styles.css","134860","134860","8C90B8B71FB142FA2AAE4C3DA3F75FD5E31BF823D31EC4B8DFACC3166D61148A","8C90B8B71FB142FA2AAE4C3DA3F75FD5E31BF823D31EC4B8DFACC3166D61148A","inalterado"
"violao\index.html","5167","5167","98DE104E4416CCE5B3FBE7D319F0E1ABB894B36A375BB5C88F7EF1E37B8134EC","98DE104E4416CCE5B3FBE7D319F0E1ABB894B36A375BB5C88F7EF1E37B8134EC","inalterado"
